Cartao_ID,Conta_ID,Numero_Cartao_Mascarado,Tipo_Cartao
1,93,**** **** **** 0480,Múltiplo
2,224,**** **** **** 5471,Múltiplo
3,252,**** **** **** 8014,Débito
4,241,**** **** **** 0994,Crédito
5,210,**** **** **** 4846,Crédito
6,165,**** **** **** 8233,Múltiplo
7,54,**** **** **** 3349,Débito
8,169,**** **** **** 7654,Crédito
9,254,**** **** **** 8907,Crédito
10,206,**** **** **** 6851,Múltiplo
11,19,**** **** **** 5999,Crédito
12,46,**** **** **** 2961,Crédito
13,130,**** **** **** 6557,Crédito
14,60,**** **** **** 7888,Crédito
15,264,**** **** **** 9563,Débito
16,278,**** **** **** 8266,Crédito
17,212,**** **** **** 7154,Débito
18,97,**** **** **** 7569,Múltiplo
19,186,**** **** **** 9356,Múltiplo
20,256,**** **** **** 7379,Múltiplo
21,227,**** **** **** 6888,Débito
22,105,**** **** **** 9097,Crédito
23,282,**** **** **** 9373,Débito
24,148,**** **** **** 6110,Crédito
25,249,**** **** **** 7753,Débito
26,15,**** **** **** 8251,Múltiplo
27,123,**** **** **** 0933,Múltiplo
28,82,**** **** **** 8257,Crédito
29,283,**** **** **** 6917,Débito
30,283,**** **** **** 1345,Crédito
31,48,**** **** **** 6277,Débito
32,59,**** **** **** 0724,Crédito
33,61,**** **** **** 2193,Múltiplo
34,79,**** **** **** 3849,Crédito
35,150,**** **** **** 0783,Múltiplo
36,140,**** **** **** 7130,Crédito
37,248,**** **** **** 9584,Crédito
38,125,**** **** **** 2539,Crédito
39,283,**** **** **** 4576,Débito
40,197,**** **** **** 6364,Débito
41,261,**** **** **** 7501,Múltiplo
42,70,**** **** **** 7704,Débito
43,142,**** **** **** 5209,Crédito
44,175,**** **** **** 3876,Múltiplo
45,137,**** **** **** 7130,Débito
46,145,**** **** **** 2188,Múltiplo
47,153,**** **** **** 1123,Múltiplo
48,297,**** **** **** 8991,Múltiplo
49,251,**** **** **** 3768,Débito
50,229,**** **** **** 9650,Múltiplo
51,248,**** **** **** 3002,Crédito
52,171,**** **** **** 1418,Múltiplo
53,279,**** **** **** 6303,Crédito
