Cliente_ID,Nome,CPF,Data_Nascimento
1,Eduardo Cunha,86374209150,1963-10-15
2,Raul Nascimento,51830246771,1995-07-24
3,Augusto Ribeiro,16942853089,1988-07-31
4,Sr. Léo Fogaça,34167095270,1983-11-23
5,Henry Rodrigues,34185760957,1966-06-16
6,Luara Cunha,50368271986,1954-12-29
7,Mariane Pacheco,76912845355,1991-06-21
8,Eduarda Vieira,65314708280,1951-01-13
9,Srta. Zoe Sá,61934725099,1986-12-05
10,Emanuelly Montenegro,45123780904,2006-10-09
11,Daniel Fonseca,14392605833,1973-11-19
12,Vitor Vargas,43019752680,1996-03-01
13,Murilo Rios,29741830696,1989-02-24
14,Heloísa Pastor,57801964357,1980-09-01
15,Sr. Théo da Costa,30156874253,1999-02-18
16,Esther Brito,47391680575,1995-08-02
17,Maitê Caldeira,16538702490,1944-10-04
18,Breno Macedo,39847150648,1972-02-12
19,Rafaela Cunha,81054763208,1968-04-16
20,Dra. Raquel Cassiano,60238971422,1969-06-02
21,Rhavi Montenegro,34908562105,1944-07-10
22,Nathan Campos,82047159350,1986-08-01
23,Sra. Isabella da Luz,93047821550,1986-03-18
24,Hadassa Montenegro,62438071931,1945-08-14
25,Liz Pimenta,42501896785,1997-05-15
26,Daniela da Mata,80459126342,1991-02-26
27,Mariana da Mota,43517286044,1946-12-01
28,Sra. Alexia Camargo,09561274361,1978-03-06
29,Luiz Otávio Vieira,12068493713,1943-06-25
30,Daniela da Costa,05381927630,2006-11-26
31,Cauê Garcia,29601834796,1958-10-16
32,Evelyn Guerra,07318249541,1942-03-31
33,Danilo da Luz,54162938709,2004-07-19
34,Sophia Camargo,24078395104,1970-05-01
35,Ana Lívia Rios,63405892783,1965-06-02
36,Laís Novaes,59182463719,1962-10-31
37,Gustavo Henrique Lopes,23658194006,1961-04-24
38,João Miguel Moraes,95736182068,1985-06-20
39,Joaquim Melo,95167280494,1942-04-19
40,Isabelly Casa Grande,91735482609,1974-04-11
41,Rafael Carvalho,01687439222,2003-01-25
42,Renan Machado,78563492128,2001-09-09
43,Sra. Isabela da Mata,43967815200,1945-11-27
44,Benício Leão,59176832040,1988-09-15
45,Maria Helena Mendes,65730194820,1998-12-08
46,Raquel Alves,05463817901,1959-03-17
47,Amanda Barros,65981372095,2002-05-08
48,Dr. Mateus da Mota,62710839512,1971-07-30
49,Asafe Sá,64130857975,1984-11-16
50,Bruna Nunes,03869415215,1972-11-10
51,Amanda das Neves,37462109840,1947-12-28
52,Bárbara Vieira,96851074320,1998-07-01
53,Rebeca Caldeira,90543286142,1941-06-30
54,Rafaela Martins,65781392491,1982-07-19
55,Maria Helena Fernandes,64591027830,1991-09-15
56,Kamilly Novais,07513624844,1959-08-31
57,Rebeca Machado,08391742687,1987-08-19
58,Vitória Ferreira,01483625753,1972-11-02
59,Gael Dias,68527391473,1956-04-28
60,Gael da Rocha,18296374528,2007-05-11
61,Yuri da Rocha,35270419823,2006-12-08
62,Sr. Benjamim da Cunha,27160498313,1970-08-10
63,Liz Barros,71836045271,1995-11-01
64,Letícia Pastor,31647582946,1971-04-17
65,Anna Liz Castro,64085712985,1958-08-23
66,Igor da Paz,32170948678,1960-06-15
67,Dom da Mata,47158263053,1977-09-10
68,Sra. Maria Luiza da Mata,21089456794,1972-07-12
69,Apollo Borges,89730451214,1981-09-19
70,Fernando Pacheco,30478192622,2002-12-22
71,Lucas Jesus,67132958003,1999-01-02
72,Sr. Nathan Moraes,74698035139,1957-10-23
73,Ana Júlia Costela,08739126404,1983-03-12
74,Leonardo Novaes,48273509656,1988-12-07
75,Sra. Sophia Santos,08691734213,1974-07-20
76,Sophia Souza,46731859001,2003-05-15
77,Samuel Cassiano,21463970803,1990-01-16
78,Isaque Oliveira,78926431509,1999-10-24
79,Davi Lucas Montenegro,63902841796,1974-05-05
80,Daniela Barbosa,95163084224,1968-07-14
81,Dr. Vitor Hugo Andrade,74589301288,2005-07-25
82,Carlos Eduardo Macedo,91356284051,1970-03-02
83,Joaquim Moura,24079651325,1969-12-10
84,Cecília da Conceição,62810437580,1974-07-02
85,Manuella Pastor,74925031805,1945-08-29
86,Maria Alice Oliveira,46932187078,1956-10-10
87,Sara da Paz,49065327800,2002-08-08
88,Asafe das Neves,35981427060,1983-05-22
89,Davi Lucca Viana,70591826321,1952-08-02
90,Ravi Lucca Barbosa,85461239773,1995-05-13
91,Camila Marques,23674901803,1958-08-19
92,Luan Pimenta,54679208392,1972-09-19
93,Kevin Monteiro,31752904699,2005-01-10
94,Dra. Daniela Leão,19348765264,1980-08-08
95,Luiz Miguel Brito,17620893431,2005-04-27
96,Hadassa Ramos,58903216768,1946-11-15
97,Giovanna Pastor,90862145767,1945-04-21
98,Vitor Hugo da Cunha,39561407884,2007-11-02
99,João Aragão,21087964369,1941-09-16
100,Hellena Pimenta,26150347826,1971-05-24
101,Bianca Mendonça,08435971279,1969-08-23
102,Lunna Garcia,71824903588,1983-02-13
103,Helena Lopes,98437560292,1998-09-01
104,Luara Rios,73628549000,1961-11-26
105,Marcelo Cardoso,45283096700,1970-01-09
106,Srta. Laura Peixoto,80579324141,1999-09-16
107,Luiz Fernando Novais,45196782346,1955-11-23
108,João Gabriel Sampaio,51478302941,1942-08-09
109,Ana Borges,45801736271,1991-01-21
110,Sr. Benjamim Cassiano,83697215400,1989-09-27
111,Henrique Sá,20193546752,1968-10-26
112,Miguel Peixoto,81530264960,1943-09-22
113,Theo Souza,09321564799,1948-10-19
114,Srta. Maya Almeida,62834170517,1999-04-12
115,Nathan Almeida,71543692800,1960-05-02
116,Maria Liz Moura,52769801368,1957-03-11
117,Bruna Moura,16452980351,1975-05-17
118,Erick Pereira,83527140662,1958-01-20
119,Luna Pires,21965347819,1986-12-26
120,Ana Sophia das Neves,52703981686,1964-08-01
121,Sofia Gomes,79082564300,1982-06-27
122,Bento Machado,78034126535,1974-10-02
123,Valentina Moreira,15948703657,2008-01-27
124,Lívia Azevedo,92586341015,1994-05-05
125,Cecília Ferreira,51627483071,1980-04-16
126,Sr. Vinicius Borges,46295073107,1984-06-04
127,Evelyn Câmara,68502719386,2005-02-14
128,Caroline Peixoto,29180456758,2000-04-09
129,Maria Clara Rocha,62815497328,1943-08-10
130,Evelyn Freitas,37465912016,1961-09-10
131,Cecilia da Cunha,97862340574,1995-02-28
132,João Gabriel Machado,07549681384,1992-07-25
133,Sarah Freitas,82601397586,1944-04-04
134,Davi Miguel Andrade,36127084571,1994-06-27
135,Antony da Cunha,47265398092,2002-04-12
136,Natália Azevedo,32608157912,1956-11-10
137,Agatha Pimenta,17054692802,1960-06-15
138,Ana Clara Porto,53619024898,1967-03-16
